Geneid,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,DMSO1_S1,DMSO2_S2,DMSO3_S3,PAN_1_S7,PAN_2_S8,PAN_3_S9,AvgCase,AvgControl,FoldChange,log2FC_Actual
ENSG00000117450.15,PRDX1,170.7546018,502.3209543,5.23E-05,0.000606724,409.1385725,406.248935,435.4434528,571.3233023,600.3216715,591.4497919,587.6982552,416.9436534,1.409538796,0.495223187
ENSG00000124216.4,SNAI1,170.3587309,172.9881588,2.59E-05,0.000396975,89.04607433,87.84561165,86.53469412,277.4512883,240.1909491,256.8603356,258.1675243,87.80879337,2.940110146,1.555870204
ENSG00000118816.11,CCNI,169.074573,277.6699522,1.24E-06,8.12E-05,186.9738494,190.8388575,201.5852902,356.158081,367.6716628,362.7919722,362.2072387,193.1326657,1.875432296,0.907223182
ENSG00000173726.11,TOMM20,167.0500113,720.7700039,0.001185624,0.005118108,620.1496435,609.00927,682.5760813,787.2599672,802.9658647,822.6591967,804.2950095,637.2449983,1.262144092,0.335876624
ENSG00000143933.19,CALM2,163.9183667,468.9427492,5.10E-05,0.000596577,380.2158137,373.4062143,407.3286695,540.8713253,562.1954551,549.6390174,550.9019326,386.9835659,1.423579659,0.509523224
ENSG00000179918.19,SEPHS2,162.408757,325.6539649,0.000522345,0.002813691,235.1617369,240.2927794,257.8942429,376.5696152,441.7552151,402.2502,406.8583434,244.4495864,1.664385485,0.734989612
ENSG00000100097.12,LGALS1,158.1526972,115.8117356,1.36E-06,8.56E-05,27.86868294,43.42934679,38.90813128,191.6853824,199.8119117,193.1669586,194.8880842,36.735387,5.305186638,2.407403506
ENSG00000105518.14,TMEM205,157.1457181,220.8514276,3.01E-05,0.000437063,143.7215059,132.7129109,150.4012889,316.1950701,296.2624668,285.815323,299.4242867,142.2785686,2.104493246,1.07347288
ENSG00000198258.11,UBL5,156.5157544,403.4984257,0.001372916,0.005698367,342.4767615,307.2187114,326.0261724,465.3640169,525.471985,454.4329067,481.7563029,325.2405484,1.481230754,0.566796409
ENSG00000107372.13,ZFAND5,154.8904134,221.7118996,7.61E-07,6.45E-05,143.3133717,138.8014367,150.6852702,293.326015,302.3860851,301.7592187,299.1571063,144.2666929,2.073639454,1.052165073
ENSG00000177432.8,NAP1L5,152.9637808,112.5900587,1.02E-05,0.000237733,35.6343557,32.75197744,39.93817179,174.035204,198.6634949,194.5171484,189.0719491,36.10816831,5.236265308,2.388538197
ENSG00000146278.11,PNRC1,152.1029803,118.7253565,1.50E-06,8.77E-05,35.62708338,48.99231872,43.4021969,194.928243,188.8018676,200.6004292,194.7768466,42.67386633,4.56431215,2.19039746
ENSG00000140545.15,MFGE8,150.9691931,86.96560336,3.08E-09,5.84E-06,12.66396613,11.05542911,10.7236252,163.6845946,163.5829704,160.0830348,162.4501999,11.48100682,14.14947334,3.822676451
ENSG00000143384.14,MCL1,149.034083,258.7056777,6.35E-06,0.000184337,182.3416638,174.7265773,195.4976676,331.4766387,339.7069298,328.4845892,333.2227192,184.1886362,1.809138316,0.855302712
ENSG00000123989.14,CHPF,148.9083528,162.7216979,0.000147872,0.001177417,97.99869245,86.21674542,80.58712649,261.453344,232.6846244,217.3896544,237.1758743,88.26752145,2.687011829,1.426002673
ENSG00000118523.6,CCN2,148.0535427,75.11619802,1.25E-08,1.13E-05,0,1.155228997,2.113051077,147.0121825,152.4080434,148.0086821,149.1429693,1.089426691,136.9004179,7.096983041
ENSG00000117410.14,ATP6V0B,147.53436,285.5301336,0.000200376,0.001447904,207.5874293,214.285122,213.4163096,331.1749195,366.6069062,380.1101153,359.2973137,211.7629536,1.696695798,0.762727926
ENSG00000175550.8,DRAP1,147.4208007,189.9725017,2.92E-05,0.000428451,125.28666,124.1840904,99.31555366,261.6003237,272.2832973,257.1650851,263.6829021,116.2621014,2.268003924,1.181423136
ENSG00000145632.15,PLK2,144.7096914,84.45929965,4.36E-07,4.96E-05,9.983753474,14.99377681,11.33583161,156.600864,150.9731355,162.8684365,156.8141453,12.10445396,12.95507801,3.695445798
ENSG00000174460.4,ZCCHC12,143.2662462,71.8141275,3.99E-07,4.76E-05,0.543013195,0,0,137.0538592,143.6497032,149.6381894,143.4472506,0.181004398,792.5069889,9.630279848
ENSG00000221983.8,UBA52,141.909088,1006.200902,0.000399888,0.00233685,945.8634988,952.3439137,907.5316608,1060.938726,1078.868231,1091.65938,1077.155446,935.2463578,1.151734446,0.203808115
ENSG00000177700.6,POLR2L,139.2358001,288.9908672,7.49E-05,0.000760923,222.7965086,235.5582033,199.7641896,361.9416549,362.9790612,350.9055858,358.6087673,219.3729672,1.634698987,0.709025003
ENSG00000132763.15,MMACHC,138.6356341,442.7654026,0.000143848,0.001156683,367.7143157,357.1033315,395.5251096,500.5207806,516.4059749,519.3229037,512.0832197,373.4475856,1.371231839,0.455472514
ENSG00000023734.11,STRAP,137.6660516,207.0735571,2.54E-05,0.000391493,135.2974837,131.2395076,148.1846027,266.2442227,271.9026657,289.5728604,275.9065829,138.2405313,1.995844347,0.996999211
ENSG00000109107.14,ALDOC,136.4734909,89.78920837,2.94E-06,0.00012806,20.93518398,20.22916254,23.49304223,168.3187192,154.8406651,150.9184772,158.0259538,21.55246291,7.332152917,2.874236875
ENSG00000075618.18,FSCN1,133.9341406,80.551664,8.70E-06,0.000217924,12.95639683,14.94385533,12.85352888,160.6472663,139.2046119,142.7043247,147.5187343,13.58459368,10.85926733,3.440854863
ENSG00000120149.9,MSX2,132.9944305,84.86514456,4.06E-07,4.80E-05,18.6597907,17.54521189,18.8987853,149.62254,157.8621157,146.6024238,151.3623598,18.3679293,8.240578312,3.042745587
ENSG00000123975.5,CKS2,132.7358803,235.7160447,0.00030534,0.001926875,165.2286936,155.1990079,187.6166122,295.7276946,287.025614,323.4986458,302.0839848,169.3481046,1.783804936,0.834957861
ENSG00000187193.9,MT1X,129.5297295,95.75736392,0.00019466,0.001414809,33.62154076,38.49380883,20.86214798,143.8290085,154.5801472,183.1575302,160.5222286,30.99249919,5.179389621,2.37278209
ENSG00000176903.5,PNMA1,127.0621848,155.9482762,3.54E-07,4.48E-05,90.57384957,95.80919657,90.8685051,215.2579481,218.8278351,224.3523225,219.4793686,92.41718375,2.374876183,1.247852299
ENSG00000102119.11,EMD,126.7165512,334.5394978,0.002752286,0.009666788,280.7095975,279.7432435,253.0908257,415.426677,422.9652595,355.3013837,397.8977734,271.1812222,1.467276274,0.553140542
ENSG00000180346.4,TIGD2,125.4459152,164.388524,8.83E-06,0.000220303,94.2850782,99.75877305,110.9528478,234.9205464,222.758897,223.6550013,227.1114816,101.6655663,2.233907603,1.159569515
ENSG00000204525.17,HLA-C,122.4633351,210.0819216,6.29E-06,0.000184337,151.9931182,141.4187137,153.1389304,266.4199688,279.8622831,267.6585156,271.3135892,148.8502541,1.822728425,0.866099625
ENSG00000206503.13,HLA-A,122.1488396,176.9185567,3.56E-05,0.000480953,115.9441773,120.58018,111.0080533,252.7366081,226.0405247,235.2017968,237.9929765,115.8441369,2.054424013,1.03873397
ENSG00000137285.11,TUBB2B,120.5822524,66.29919907,3.52E-07,4.48E-05,6.297260784,6.369974188,5.356983699,121.0804111,127.462039,131.2285257,126.5903253,6.00807289,21.07003819,4.397121024
ENSG00000165272.16,AQP3,118.9266947,96.75877816,6.17E-05,0.000674727,45.33919904,39.27787557,27.26921776,169.7585645,154.7739886,144.1338235,156.2221255,37.29543079,4.188773858,2.066527999
ENSG00000166886.13,NAB2,117.17707,93.14423054,3.94E-06,0.000144846,37.16019732,31.85830342,34.6485859,160.8594301,148.8491385,145.489728,151.7327655,34.55569555,4.390962564,2.134537235
ENSG00000249992.2,TMEM158,116.3952906,121.8180995,5.96E-05,0.000659585,66.54891948,69.93288423,54.37955889,193.8020122,178.2833937,167.9618284,180.0157448,63.6204542,2.829526243,1.500560518
ENSG00000130066.16,SAT1,115.3048299,66.81020304,1.22E-05,0.000262984,7.269513576,12.09321252,8.110638204,119.6081791,117.3659755,136.4136994,124.462618,9.1577881,13.5909039,3.764569504
ENSG00000173334.4,TRIB1,114.6120194,116.3992688,1.01E-06,7.52E-05,57.52018776,56.22983099,63.52975866,179.1762037,170.3044705,171.6351612,173.7052785,59.09325914,2.939510886,1.55557612
ENSG00000142657.21,PGD,113.9112711,139.4282102,1.28E-08,1.13E-05,80.16888757,84.24423137,83.00460506,196.9730629,197.0755837,195.1028908,196.3838458,82.47257467,2.381201831,1.251689909
