Geneid,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,DMSO1_S1,DMSO2_S2,DMSO3_S3,JOI_Plus_PAN_1_S10,JOI_Plus_PAN_2_S11,JOI_Plus_PAN_3_S12,AvgCase,AvgControl,FoldChange,log2FC_Actual
ENSG00000080824.19,HSP90AA1,493.4325137,963.3881818,8.23E-05,0.000510116,697.5298658,679.7946776,772.6912315,1200.764039,1166.312942,1263.236336,1210.104439,716.671925,1.688505433,0.755746821
ENSG00000123975.5,CKS2,486.8270374,412.7616233,9.40E-07,3.23E-05,165.2286936,155.1990079,187.6166122,635.3015192,659.2193746,674.0045321,656.175142,169.3481046,3.874712053,1.954089101
ENSG00000128272.16,ATF4,482.5010401,1537.344818,7.58E-06,0.000105337,1288.402811,1318.406156,1281.473929,1796.658803,1738.215521,1800.911691,1778.595339,1296.094298,1.372273098,0.456567623
ENSG00000167996.16,FTH1,466.4593112,608.4099053,2.64E-07,1.61E-05,357.4315594,382.9951107,385.1140791,853.4644659,837.5735214,833.8806954,841.6395609,375.1802497,2.243293887,1.165618636
ENSG00000175906.5,ARL4D,460.5738169,495.6415725,2.62E-06,5.56E-05,296.1738261,247.9396097,251.9505564,740.3366247,725.7605948,711.6882233,725.9284809,265.3546641,2.735691432,1.451905513
ENSG00000124257.7,NEURL2,448.6477575,235.4230155,3.01E-07,1.70E-05,13.21808434,15.72211228,4.357213811,479.5975079,447.016075,452.6270999,459.7468943,11.09913681,41.42186028,5.372320442
ENSG00000154734.16,ADAMTS1,444.8202953,243.5087317,2.64E-07,1.61E-05,23.87880136,19.12618904,20.29076173,471.2847291,446.2979654,480.1739435,465.9188793,21.09858404,22.0829454,4.464860705
ENSG00000148926.10,ADM,422.3099362,213.7302636,5.27E-06,8.44E-05,1.469055051,2.38275297,3.874078448,433.9187412,451.8337764,388.9031775,424.8852317,2.57529549,164.9850409,7.366191412
ENSG00000124762.14,CDKN1A,419.8002506,270.3515117,3.68E-09,2.59E-06,60.91352095,57.7179084,62.72272969,479.5551177,474.558927,486.6408662,480.251637,60.45138635,7.944427184,2.989943201
ENSG00000175130.7,MARCKSL1,402.4330059,1064.156116,0.000314683,0.001370598,864.9406643,910.5946657,813.2835092,1333.915128,1231.53184,1230.670888,1265.372619,862.9396131,1.466351295,0.552230772
ENSG00000142669.15,SH3BGRL3,392.3975803,443.6896036,4.85E-05,0.000353151,224.6136103,260.8675094,256.9913208,587.9396331,666.5422129,665.1833352,639.8883937,247.4908135,2.585503618,1.370445324
ENSG00000117450.15,PRDX1,390.2517925,612.0695497,3.66E-07,1.88E-05,409.1385725,406.248935,435.4434528,806.0302093,803.3471718,812.2089566,807.1954459,416.9436534,1.935982091,0.953065607
ENSG00000183864.5,TOB2,385.5816498,382.4376776,6.57E-08,8.17E-06,194.4154939,190.9353597,183.5897044,586.6588643,569.1787169,569.8479261,575.2285024,189.6468527,3.033156071,1.600819734
ENSG00000198668.13,CALM1,370.9625395,333.2681716,1.52E-07,1.20E-05,149.3415497,140.9260584,153.0930975,528.3554229,505.9660276,521.9268737,518.7494414,147.7869019,3.510117844,1.811519467
ENSG00000149634.4,SPATA25,364.7198116,199.9939604,4.80E-05,0.000350834,13.40016432,25.75949157,13.74250801,434.3530943,358.4776354,354.2308689,382.3538662,17.63405463,21.68269716,4.438472323
ENSG00000168298.7,H1-4,364.712423,187.1030399,2.23E-06,5.06E-05,4.339965685,7.039263856,2.861255524,342.897024,380.5179898,384.9627403,369.4592514,4.746828355,77.83286517,6.282307561
ENSG00000158050.5,DUSP2,361.8398988,355.6423924,1.73E-05,0.000180093,163.8623576,191.8158091,168.4891622,529.925432,572.2138697,507.5477237,536.5623418,174.722443,3.070941161,1.618680871
ENSG00000167434.10,CA4,360.2933009,378.4988139,1.89E-08,5.33E-06,196.4619303,202.831875,195.7626851,558.035853,566.000891,551.8996492,558.6454644,198.3521634,2.816432424,1.493868856
ENSG00000116717.13,GADD45A,357.6331414,270.7389371,4.54E-07,2.13E-05,90.45657259,85.43773611,99.87279055,462.9917789,434.5452538,451.1294909,449.5555079,91.92236642,4.890599811,2.290011416
ENSG00000132763.15,MMACHC,355.1691917,551.0321814,1.67E-05,0.000176175,367.7143157,357.1033315,395.5251096,733.0434713,697.5948471,755.2120135,728.6167773,373.4475856,1.951054995,0.964254444
ENSG00000140545.15,MFGE8,337.9102531,180.4361334,4.29E-09,2.70E-06,12.66396613,11.05542911,10.7236252,354.753706,349.4188725,344.0012013,349.3912599,11.48100682,30.43210979,4.927522451
ENSG00000141543.12,EIF4A3,329.4092717,336.0936998,7.85E-07,2.91E-05,169.9359856,176.5302511,167.7009551,504.5492446,483.2288686,514.6168939,500.7983357,171.3890639,2.921997029,1.546954711
ENSG00000277075.2,H2AC8,325.9580288,188.1284024,4.31E-06,7.34E-05,13.42064045,39.90760131,22.11992237,371.1237142,331.5277967,350.6707395,351.1074168,25.14938804,13.96087317,3.803317271
ENSG00000137801.11,THBS1,323.815187,165.3210629,1.68E-08,5.03E-06,3.529231395,4.017040573,2.694136293,327.2719742,320.162817,334.2511782,327.2286565,3.41346942,95.86394843,6.582916458
