Geneid,GeneSymbol,logFC,AveExpr,P.Value,adj.P.Val,DMSO1_S1,DMSO2_S2,DMSO3_S3,JOI1_S4,JOI2_S5,JOI3_S6,AvgCase,AvgControl,FoldChange,log2FC_Actual
ENSG00000114503.11,NCBP2,91.82496956,386.8301883,0.00127099,0.007975519,339.0386261,322.4484556,361.2660287,418.9833608,446.4388792,432.8057791,432.742673,340.9177035,1.269346439,0.344085874
ENSG00000134294.14,SLC38A2,91.45857201,177.1573344,5.94E-06,0.000360892,129.4940906,127.2361661,137.5538883,220.6069355,220.0067657,228.0461599,222.8866204,131.4280484,1.695883209,0.762036819
ENSG00000108107.15,RPL28,90.07017022,375.0389052,0.000954864,0.006578709,346.8998046,334.0552524,309.0564033,431.9494804,415.2365489,413.0359418,420.0739903,330.0038201,1.27293675,0.348160736
ENSG00000146278.11,PNRC1,88.27483496,86.81128381,1.07E-05,0.000479527,35.62708338,48.99231872,43.4021969,134.8273118,127.1409979,130.8777942,130.9487013,42.67386633,3.068592386,1.617577019
ENSG00000178988.11,MRFAP1L1,87.50960704,409.1736829,0.000640484,0.005096114,371.5301294,356.5324825,368.1940261,452.342792,470.8728118,435.5698553,452.9284864,365.4188793,1.23947752,0.309732106
ENSG00000197746.14,PSAP,84.94027617,212.0602686,1.07E-06,0.000174568,169.6660446,171.1251715,167.9791755,255.6184329,249.9110381,258.0617491,254.5304067,169.5901305,1.500856246,0.585785801
ENSG00000101361.17,NOP56,82.87000246,734.2340609,0.000548752,0.004584203,674.7498244,707.6480581,695.9992965,779.7854889,778.2011129,769.0205846,775.6690621,692.7990597,1.119616217,0.163004288
ENSG00000204256.14,BRD2,82.55006379,158.8466304,6.33E-06,0.000369484,118.2428894,118.8470013,115.6249046,195.3332669,197.89712,207.1345999,200.1216623,117.5715985,1.702125895,0.767337747
ENSG00000167995.17,BEST1,79.81857592,222.5501855,0.000111232,0.001665506,178.038435,187.7345052,182.1497523,273.4900277,251.9780095,261.9103831,262.4594735,182.6408975,1.437024659,0.523084818
ENSG00000165280.18,VCP,79.34660586,266.828517,0.000119843,0.001740941,215.6932377,233.0339016,232.738503,299.4328658,307.4569193,312.6156748,306.50182,227.1552141,1.349305677,0.432217219
ENSG00000107372.13,ZFAND5,78.84398416,183.688685,2.89E-05,0.00077795,143.3133717,138.8014367,150.6852702,218.3052531,220.9279148,230.0988632,223.110677,144.2666929,1.546515503,0.629021295
ENSG00000154277.13,UCHL1,77.87282863,344.9709674,0.001062771,0.007042563,291.5543036,315.4135361,311.1358195,387.2323162,396.5667263,367.9231026,383.9073817,306.0345531,1.254457635,0.32706375
ENSG00000137955.16,RABGGTB,76.19647151,158.5458331,0.000196267,0.002355644,117.3736153,109.4686031,134.5005737,196.2770917,197.6856342,195.9694807,196.6440689,120.4475973,1.632610971,0.707181057
ENSG00000143390.18,RFX5,75.34621082,234.6374007,0.000161294,0.002064885,195.6268576,195.2400061,200.0260221,272.2722036,260.4923099,284.1670048,272.3105061,196.9642953,1.382537407,0.467318516
ENSG00000186298.12,PPP1CC,75.24152432,254.898336,0.00017578,0.00218968,217.032989,205.9401304,228.859602,289.8776974,289.8365712,297.8430258,292.5190981,217.2775738,1.346292178,0.428991544
ENSG00000118816.11,CCNI,74.07740719,230.1713693,3.16E-05,0.000818647,186.9738494,190.8388575,201.5852902,265.722438,264.9069916,271.000789,267.2100729,193.1326657,1.38355711,0.468382197
ENSG00000075415.14,SLC25A3,72.87658934,600.4278657,0.00085735,0.00613237,555.9053528,558.3651532,577.6982069,639.0395238,623.4882246,648.0707326,636.8661603,563.989571,1.1292162,0.175321732
ENSG00000139644.13,TMBIM6,71.91113509,228.4687998,1.53E-05,0.000570711,185.5240505,196.315771,195.6998752,260.8460778,266.7077778,265.7192465,264.4243673,192.5132323,1.373538661,0.457897519
ENSG00000148730.7,EIF4EBP2,69.63493621,225.0871265,4.46E-05,0.000988097,183.1704382,189.0848934,198.5536437,256.4440371,260.5185127,262.751234,259.9045946,190.2696584,1.365980245,0.449936619
ENSG00000123933.17,MXD4,67.23363175,93.12794703,4.02E-05,0.000935377,60.96708574,64.79195252,52.7743552,129.9988897,129.244052,120.991347,126.7447629,59.51113115,2.12976565,1.090694691
ENSG00000180573.10,H2AC6,66.40324465,57.21335853,6.13E-06,0.000365671,22.81293744,23.80445334,25.41781783,92.14538074,94.28949243,84.81006941,90.41498086,24.01173621,3.765449532,1.912822109
ENSG00000142871.18,CCN1,66.34334236,59.98125501,4.71E-05,0.001020534,28.09869922,18.80875124,33.52130101,92.35939092,96.65732878,90.44205887,93.15292619,26.80958382,3.474612914,1.796852265
ENSG00000172053.18,QARS1,65.08251084,325.0790031,6.84E-05,0.001274829,288.8683802,293.2853157,295.4595471,354.4429775,366.6719748,351.7458232,357.6202585,292.5377477,1.2224756,0.28980567
ENSG00000163754.18,GYG1,64.44082223,80.06057565,1.24E-05,0.00050684,45.6473157,44.60136031,53.27181761,108.5436325,113.037566,115.2617618,112.2809868,47.84016454,2.347002521,1.230819391
ENSG00000255112.3,CHMP1B,64.04400267,150.3819886,0.000578258,0.004752671,122.2254287,113.282929,119.5716041,182.0053615,169.5752523,195.631356,182.4039899,118.3599873,1.541095045,0.623955841
ENSG00000177666.17,PNPLA2,64.01729403,98.87014838,3.12E-05,0.000810576,71.02914259,65.9908086,63.56455291,137.1256399,125.1172815,130.3934647,130.8787954,66.86150137,1.95746121,0.968983719
ENSG00000163041.13,H3-3A,63.77743743,215.0354187,0.000723632,0.005497216,184.061662,168.5196121,196.8588257,250.3156984,245.6118706,244.8448432,246.9241374,183.1467,1.348231431,0.431068164
ENSG00000145907.16,G3BP1,63.38789104,168.4672023,0.000101787,0.001589251,135.9139964,132.1449858,142.2607882,191.8176656,201.8360075,206.8297704,200.1611478,136.7732568,1.463452377,0.549375799
ENSG00000082641.16,NFE2L1,62.76516529,344.6326539,0.00072122,0.005484915,310.6222818,312.4061906,316.7217412,389.0021382,361.3416876,377.7018838,376.0152365,313.2500712,1.200367601,0.263476285
ENSG00000108848.16,LUC7L3,60.43794633,143.8532793,2.41E-05,0.000697658,115.3116036,106.9037347,118.68758,176.1538567,172.614221,173.4486796,174.0722524,113.6343061,1.531863558,0.615287803
ENSG00000105373.19,NOP53,59.13637491,259.1939385,0.00046978,0.004139067,219.2385705,237.8665471,231.7721355,297.3804662,285.8522619,283.0536498,288.762126,229.625751,1.257533725,0.330597091
ENSG00000179941.9,BBS10,57.55381992,102.4985715,0.000228642,0.002583364,75.81453247,66.52003154,78.83042047,122.7376392,137.737802,133.3510029,131.2754814,73.72166149,1.78069076,0.832436995
ENSG00000183864.5,TOB2,57.05360649,218.1736559,8.04E-05,0.001394728,194.4154939,190.9353597,183.5897044,243.8365009,253.1246731,243.1402034,246.7004592,189.6468527,1.300841304,0.379444972
ENSG00000158373.8,H2BC5,56.79593682,36.84291819,2.91E-09,2.35E-05,8.665633543,7.971683766,8.697532035,64.89752171,64.7866424,66.03849568,65.2408866,8.444949781,7.725432157,2.949615639
ENSG00000175166.17,PSMD2,56.68375455,386.2761247,0.000724048,0.005498398,357.9172299,349.5353267,366.3501858,403.6866602,417.6832938,422.4840521,414.618002,357.9342475,1.158363596,0.212088169
ENSG00000174574.16,AKIRIN1,56.3202748,121.587517,0.000216752,0.002500276,91.48802663,87.81002346,100.9840888,145.3644507,146.1558981,157.7226145,149.7476544,93.42737963,1.602824087,0.680616095
ENSG00000158406.5,H4C8,55.79463732,32.11703272,3.99E-05,0.00093314,5.104188783,3.909435912,3.645517468,66.30252319,60.44108523,53.29944571,60.01435138,4.219714055,14.22237398,3.830090393
ENSG00000030582.18,GRN,55.2601871,183.5635416,0.000165701,0.002100732,155.9831478,158.5647688,153.2524275,220.7337295,208.6208005,204.2263754,211.1936351,155.933448,1.354383154,0.437635934
ENSG00000158850.15,B4GALT3,54.88002644,206.5281614,0.001591445,0.009289792,182.6005205,185.2457144,169.4182095,245.6960165,220.984976,235.2235313,233.9681746,179.0881481,1.30644142,0.385642437
ENSG00000168291.13,PDHB,54.03543528,178.1115424,0.000403488,0.003724378,143.9599648,152.403604,156.9179053,203.1081841,197.8471833,214.4324126,205.12926,151.0938247,1.35762835,0.441088597
